UPDATE_TIME,ZONE_CODE,HOUR_ID,BANDWIDTH_TOTAL,MAX_USER
2017-10-01,ZONE01,0,16096.71031272728,212415.0
2017-10-01,ZONE01,1,9374.20790727273,166362.0
2017-10-01,ZONE01,2,5606.225750000003,146370.0
2017-10-01,ZONE01,3,4155.654660909094,141270.0
2017-10-01,ZONE01,4,3253.9785936363623,139689.0
2017-10-01,ZONE01,5,4310.774521818181,165342.0
2017-10-01,ZONE01,6,10015.599873636365,221901.0
2017-10-01,ZONE01,7,19780.9956309091,302736.0
2017-10-01,ZONE01,8,24344.875025454534,336600.0
2017-10-01,ZONE01,9,28651.427689090917,356235.0
2017-10-01,ZONE01,10,31983.899965454544,361131.0
2017-10-01,ZONE01,11,34044.84959272727,360774.0
2017-10-01,ZONE01,12,37520.32898181821,355980.0
2017-10-01,ZONE01,13,34521.039789090915,344811.0
2017-10-01,ZONE01,14,34402.17741545456,343281.0
2017-10-01,ZONE01,15,31897.52535272729,348381.0
2017-10-01,ZONE01,16,29310.92172545455,355776.0
2017-10-01,ZONE01,17,29826.141779090896,357918.0
2017-10-01,ZONE01,18,36244.74628454546,407286.0
2017-10-01,ZONE01,19,32493.87046818183,370464.0
2017-10-01,ZONE01,20,37388.83045272726,375768.0
2017-10-01,ZONE01,21,38976.39311363637,378981.0
2017-10-01,ZONE01,22,32728.94885909089,348381.0
2017-10-01,ZONE01,23,22768.77889636362,254133.0
2017-10-02,ZONE01,0,11370.931635454543,182988.0
2017-10-02,ZONE01,1,6500.976281818173,147594.0
2017-10-02,ZONE01,2,4182.576569090908,138924.0
2017-10-02,ZONE01,3,2754.1593909090884,132753.0
2017-10-02,ZONE01,4,1557.6392390909095,164322.0
2017-10-02,ZONE01,5,4305.291322727272,183294.0
2017-10-02,ZONE01,6,8265.746494545454,248370.0
2017-10-02,ZONE01,7,11567.467933636359,302277.0
2017-10-02,ZONE01,8,12094.769939090906,271932.0
2017-10-02,ZONE01,9,16804.45687818182,296463.0
2017-10-02,ZONE01,10,19445.32528181818,295851.0
2017-10-02,ZONE01,11,20780.636874545453,342414.0
2017-10-02,ZONE01,12,22474.995260909112,356490.0
2017-10-02,ZONE01,13,16584.032126363636,279276.0
2017-10-02,ZONE01,14,15831.77071818182,283509.0
2017-10-02,ZONE01,15,15624.471569999989,307632.0
2017-10-02,ZONE01,16,17081.19045272727,334968.0
2017-10-02,ZONE01,17,19320.948379090925,338283.0
2017-10-02,ZONE01,18,21606.31890000001,346086.0
2017-10-02,ZONE01,19,27577.720591818168,351849.0
2017-10-02,ZONE01,20,32339.280263636356,381429.0
2017-10-02,ZONE01,21,35790.28915454545,374187.0
2017-10-02,ZONE01,22,31858.065009999995,343842.0
2017-10-02,ZONE01,23,20847.838481818188,253878.0
2017-10-03,ZONE01,0,10659.03714545454,190077.0
2017-10-03,ZONE01,1,5027.426459090908,153612.0
2017-10-03,ZONE01,2,2922.985143636363,136731.0
2017-10-03,ZONE01,3,2345.4960563636355,135558.0
2017-10-03,ZONE01,4,2429.3851072727257,139638.0
2017-10-03,ZONE01,5,4718.752769999996,172686.0
2017-10-03,ZONE01,6,9177.578629090909,250665.0
2017-10-03,ZONE01,7,11387.81662363637,300237.0
2017-10-03,ZONE01,8,11901.957698181817,264588.0
2017-10-03,ZONE01,9,13900.641263636371,287028.0
2017-10-03,ZONE01,10,14832.57726545455,292281.0
2017-10-03,ZONE01,11,20198.31958727272,346647.0
2017-10-03,ZONE01,12,20853.85595818182,355011.0
2017-10-03,ZONE01,13,15631.797547272727,274890.0
2017-10-03,ZONE01,14,15295.40529727272,281928.0
2017-10-03,ZONE01,15,15580.904772727274,303858.0
2017-10-03,ZONE01,16,17169.975610000012,325329.0
2017-10-03,ZONE01,17,19816.269572727273,337416.0
2017-10-03,ZONE01,18,21496.566524545462,342006.0
2017-10-03,ZONE01,19,26742.5392109091,360417.0
2017-10-03,ZONE01,20,32228.165098181802,388518.0
2017-10-03,ZONE01,21,34867.32341363638,376788.0
2017-10-03,ZONE01,22,32661.696936363638,346596.0
2017-10-03,ZONE01,23,21092.227931818168,256785.0
2017-10-04,ZONE01,0,9932.649163636363,187476.0
2017-10-04,ZONE01,1,5483.678199090911,151623.0
2017-10-04,ZONE01,2,2848.568005454544,139485.0
2017-10-04,ZONE01,3,2343.5828481818203,135864.0
2017-10-04,ZONE01,4,2355.148414545454,139536.0
2017-10-04,ZONE01,5,3949.5695809090894,169167.0
2017-10-04,ZONE01,6,8764.872245454546,255255.0
2017-10-04,ZONE01,7,11929.552682727273,305592.0
2017-10-04,ZONE01,8,11435.966549090914,274023.0
2017-10-04,ZONE01,9,13826.241295454542,291465.0
2017-10-04,ZONE01,10,15117.725408181821,295290.0
2017-10-04,ZONE01,11,18686.19864272726,337671.0
2017-10-04,ZONE01,12,20414.4558290909,348381.0
2017-10-04,ZONE01,13,15483.379616363634,271371.0
2017-10-04,ZONE01,14,14775.246050909096,277950.0
2017-10-04,ZONE01,15,15252.630930909083,301257.0
2017-10-04,ZONE01,16,17432.020565454528,331245.0
2017-10-04,ZONE01,17,21626.681045454534,341139.0
2017-10-04,ZONE01,18,23839.834503636353,356745.0
2017-10-04,ZONE01,19,27475.46357090909,359703.0
2017-10-04,ZONE01,20,31964.505600909088,379440.0
2017-10-04,ZONE01,21,36784.85510000001,371994.0
2017-10-04,ZONE01,22,32160.38995272728,337620.0
2017-10-04,ZONE01,23,21444.093204545457,276573.0
2017-10-05,ZONE01,0,11493.247560909094,190179.0
2017-10-05,ZONE01,1,5909.7396827272705,155040.0
2017-10-05,ZONE01,2,3069.4498863636363,141678.0
2017-10-05,ZONE01,3,2388.7198790909083,135558.0
2017-10-05,ZONE01,4,1994.0371818181816,137037.0
2017-10-05,ZONE01,5,4152.845183636365,173196.0
2017-10-05,ZONE01,6,8635.905858181824,252450.0
2017-10-05,ZONE01,7,12190.222920909086,297789.0
2017-10-05,ZONE01,8,11776.365237272725,265608.0
2017-10-05,ZONE01,9,12881.643173636367,296412.0
2017-10-05,ZONE01,10,14615.056397272732,290598.0
2017-10-05,ZONE01,11,19554.0149609091,334866.0
2017-10-05,ZONE01,12,20432.973618181837,347463.0
2017-10-05,ZONE01,13,14317.64317818181,261630.0
2017-10-05,ZONE01,14,13936.995894545453,267648.0
2017-10-05,ZONE01,15,14640.43946363636,285702.0
2017-10-05,ZONE01,16,16073.920360909084,311865.0
2017-10-05,ZONE01,17,18843.332778181833,328440.0
2017-10-05,ZONE01,18,21994.070510909085,335376.0
2017-10-05,ZONE01,19,25283.70510454547,340731.0
2017-10-05,ZONE01,20,30989.676513636357,378318.0
2017-10-05,ZONE01,21,34593.01702181818,366078.0
2017-10-05,ZONE01,22,32832.7793781818,350931.0
2017-10-05,ZONE01,23,21436.36584363635,259488.0
2017-10-06,ZONE01,0,10807.217445454537,188751.0
2017-10-06,ZONE01,1,5688.078119090912,153816.0
2017-10-06,ZONE01,2,4113.64110090909,140097.0
2017-10-06,ZONE01,3,2912.67028181818,136629.0
2017-10-06,ZONE01,4,2585.2329399999994,138465.0
2017-10-06,ZONE01,5,4327.283444545454,171156.0
2017-10-06,ZONE01,6,8532.372804545457,244749.0
2017-10-06,ZONE01,7,11420.853265454547,302073.0
2017-10-06,ZONE01,8,10594.077148181825,258876.0
2017-10-06,ZONE01,9,13259.213251818182,279327.0
2017-10-06,ZONE01,10,14128.08640181818,282285.0
2017-10-06,ZONE01,11,18254.03966636363,328695.0
2017-10-06,ZONE01,12,20454.489834545457,350676.0
2017-10-06,ZONE01,13,14589.664389999985,258621.0
2017-10-06,ZONE01,14,13987.45501545454,270147.0
2017-10-06,ZONE01,15,15159.503511818179,291261.0
2017-10-06,ZONE01,16,15619.64923272728,310947.0
2017-10-06,ZONE01,17,18733.019783636366,334305.0
2017-10-06,ZONE01,18,22206.68535181818,334917.0
2017-10-06,ZONE01,19,24882.209183636354,337824.0
2017-10-06,ZONE01,20,30985.670935454546,374850.0
2017-10-06,ZONE01,21,34110.527589999976,368883.0
2017-10-06,ZONE01,22,32607.165874545477,358326.0
2017-10-06,ZONE01,23,23528.8119209091,263721.0
2017-10-07,ZONE01,0,12107.829061818184,191709.0
2017-10-07,ZONE01,1,5980.536841818178,152439.0
2017-10-07,ZONE01,2,3629.4669136363655,142188.0
2017-10-07,ZONE01,3,3199.2294400000005,137190.0
2017-10-07,ZONE01,4,2076.0006936363634,137190.0
2017-10-07,ZONE01,5,4248.928863636362,169116.0
2017-10-07,ZONE01,6,9093.855899090917,238476.0
2017-10-07,ZONE01,7,13071.356797272729,294984.0
2017-10-07,ZONE01,8,14063.619134545454,271677.0
2017-10-07,ZONE01,9,17442.24796727272,294321.0
2017-10-07,ZONE01,10,16692.65409181817,286773.0
2017-10-07,ZONE01,11,19326.674162727268,328848.0
2017-10-07,ZONE01,12,21518.089444545443,344811.0
2017-10-07,ZONE01,13,15542.066900909093,272136.0
2017-10-07,ZONE01,14,15995.549926363636,275094.0
2017-10-07,ZONE01,15,16200.063938181811,295494.0
2017-10-07,ZONE01,16,17056.143071818173,330072.0
2017-10-07,ZONE01,17,20267.310350000007,338334.0
2017-10-07,ZONE01,18,22867.27865272729,335019.0
2017-10-07,ZONE01,19,26606.82724363635,349401.0
2017-10-07,ZONE01,20,33191.50574272727,368679.0
2017-10-07,ZONE01,21,35958.01558363635,369240.0
2017-10-07,ZONE01,22,35470.60748636363,361029.0
2017-10-07,ZONE01,23,27970.93437090908,292485.0
2017-10-08,ZONE01,0,16441.497324545453,224859.0
2017-10-08,ZONE01,1,8886.38288181818,173604.0
2017-10-08,ZONE01,2,5982.6770454545385,149073.0
2017-10-08,ZONE01,3,3847.353400909095,144585.0
2017-10-08,ZONE01,4,3671.082667272727,145044.0
2017-10-08,ZONE01,5,5139.564722727273,162537.0
2017-10-08,ZONE01,6,8960.72233818183,216699.0
2017-10-08,ZONE01,7,14518.947310909087,265098.0
2017-10-08,ZONE01,8,18729.444182727264,294882.0
2017-10-08,ZONE01,9,22976.46178181818,327420.0
2017-10-08,ZONE01,10,25727.34287909091,336039.0
2017-10-08,ZONE01,11,26803.801171818166,340017.0
2017-10-08,ZONE01,12,30466.420225454556,328593.0
2017-10-08,ZONE01,13,26681.11622000001,313089.0
2017-10-08,ZONE01,14,26178.166371818163,311049.0
2017-10-08,ZONE01,15,25094.73625454544,319362.0
2017-10-08,ZONE01,16,25779.139413636363,343740.0
2017-10-08,ZONE01,17,25400.09764,333999.0
2017-10-08,ZONE01,18,26725.110043636367,341241.0
2017-10-08,ZONE01,19,30893.716250909092,356031.0
2017-10-08,ZONE01,20,34560.70689181816,375003.0
2017-10-08,ZONE01,21,35530.428097272714,369495.0
2017-10-08,ZONE01,22,31547.988706363663,331398.0
2017-10-08,ZONE01,23,22715.941059090925,254490.0
2017-10-09,ZONE01,0,11730.455240909087,190128.0
2017-10-09,ZONE01,1,5295.277871818186,151521.0
2017-10-09,ZONE01,2,3634.5105572727252,137700.0
2017-10-09,ZONE01,3,2979.616053636363,141117.0
2017-10-09,ZONE01,4,2170.8469054545453,136068.0
2017-10-09,ZONE01,5,3487.1202572727284,169728.0
2017-10-09,ZONE01,6,8430.245741818182,253674.0
2017-10-09,ZONE01,7,12052.038931818182,299625.0
2017-10-09,ZONE01,8,12562.106288181822,280551.0
2017-10-09,ZONE01,9,14308.303618181819,296106.0
2017-10-09,ZONE01,10,16402.34811909092,300543.0
2017-10-09,ZONE01,11,18859.21424727273,343995.0
2017-10-09,ZONE01,12,21202.052120909106,359091.0
2017-10-09,ZONE01,13,15431.962717272734,278817.0
2017-10-09,ZONE01,14,16265.281780000005,284988.0
2017-10-09,ZONE01,15,15897.025189090915,303756.0
2017-10-09,ZONE01,16,16045.256395454553,322677.0
2017-10-09,ZONE01,17,18299.89981454546,333387.0
2017-10-09,ZONE01,18,19871.55458363637,335682.0
2017-10-09,ZONE01,19,24190.066577272733,343026.0
2017-10-09,ZONE01,20,30047.740295454543,379440.0
2017-10-09,ZONE01,21,36342.441228181815,375717.0
2017-10-09,ZONE01,22,32457.595026363626,356388.0
2017-10-09,ZONE01,23,20782.00045727272,259998.0
2017-10-10,ZONE01,0,10541.70840454546,190485.0
2017-10-10,ZONE01,1,5756.45819818182,153051.0
2017-10-10,ZONE01,2,3540.6183536363624,142749.0
2017-10-10,ZONE01,3,2865.8547536363612,139230.0
2017-10-10,ZONE01,4,2854.9686981818186,140505.0
2017-10-10,ZONE01,5,4501.340254545452,173502.0
2017-10-10,ZONE01,6,9097.76099,264282.0
2017-10-10,ZONE01,7,11919.57932727274,304062.0
2017-10-10,ZONE01,8,11836.52210909091,278868.0
2017-10-10,ZONE01,9,13884.240075454538,296412.0
2017-10-10,ZONE01,10,15759.676144545461,299319.0
2017-10-10,ZONE01,11,20724.940464545445,346800.0
2017-10-10,ZONE01,12,21121.062546363624,354960.0
2017-10-10,ZONE01,13,16508.192518181822,274839.0
2017-10-10,ZONE01,14,15466.059880909097,282846.0
2017-10-10,ZONE01,15,15141.942926363645,304113.0
2017-10-10,ZONE01,16,15243.862756363638,323646.0
2017-10-10,ZONE01,17,18415.623695454535,334917.0
2017-10-10,ZONE01,18,19732.95708636365,341751.0
2017-10-10,ZONE01,19,27986.51900272727,347463.0
2017-10-10,ZONE01,20,33159.75208363638,376788.0
2017-10-10,ZONE01,21,34945.04022090909,375768.0
2017-10-10,ZONE01,22,33981.951257272725,373881.0
2017-10-10,ZONE01,23,24274.727427272723,274992.0
2017-10-11,ZONE01,0,12733.470056363634,198186.0
2017-10-11,ZONE01,1,6920.9976990909145,158457.0
2017-10-11,ZONE01,2,3889.6985527272727,183549.0
2017-10-11,ZONE01,3,3015.3307390909067,138873.0
2017-10-11,ZONE01,4,2502.3828518181817,145962.0
2017-10-11,ZONE01,5,4269.631449090908,173451.0
2017-10-11,ZONE01,6,9586.124782727271,258876.0
2017-10-11,ZONE01,7,12746.164397272725,310080.0
2017-10-11,ZONE01,8,11625.96995545455,271269.0
2017-10-11,ZONE01,9,14508.23593545453,294576.0
2017-10-11,ZONE01,10,15560.430250909076,298707.0
2017-10-11,ZONE01,11,20292.048223636364,352971.0
2017-10-11,ZONE01,12,22367.49343818181,365262.0
2017-10-11,ZONE01,13,15559.769078181824,281469.0
2017-10-11,ZONE01,14,16587.500337272733,289986.0
2017-10-11,ZONE01,15,17291.76768181818,306357.0
2017-10-11,ZONE01,16,16794.550557272734,328287.0
2017-10-11,ZONE01,17,19058.800122727294,333489.0
2017-10-11,ZONE01,18,22711.72495000001,339609.0
2017-10-11,ZONE01,19,26838.43829999999,343944.0
2017-10-11,ZONE01,20,34100.71675363638,390558.0
2017-10-11,ZONE01,21,37364.97008272724,380511.0
2017-10-11,ZONE01,22,34295.38831454546,368169.0
2017-10-11,ZONE01,23,22556.253611818192,267087.0
2017-10-12,ZONE01,0,10263.813481818182,190791.0
2017-10-12,ZONE01,1,5159.149341818182,155703.0
2017-10-12,ZONE01,2,3129.4329963636355,186711.0
2017-10-12,ZONE01,3,2607.420357272726,160803.0
2017-10-12,ZONE01,4,2485.204488181818,140097.0
2017-10-12,ZONE01,5,4411.235397272723,177633.0
2017-10-12,ZONE01,6,9562.696580909085,259131.0
2017-10-12,ZONE01,7,13562.496017272724,307632.0
2017-10-12,ZONE01,8,11493.579221818169,274737.0
2017-10-12,ZONE01,9,14625.672090000007,299370.0
2017-10-12,ZONE01,10,15283.909410000004,298656.0
2017-10-12,ZONE01,11,20770.827352727287,353583.0
2017-10-12,ZONE01,12,24355.943567272745,362304.0
2017-10-12,ZONE01,13,17013.030803636357,279939.0
2017-10-12,ZONE01,14,17655.72062454546,288813.0
2017-10-12,ZONE01,15,16134.055612727272,301971.0
2017-10-12,ZONE01,16,17512.063613636365,321351.0
2017-10-12,ZONE01,17,21165.242218181815,339303.0
2017-10-12,ZONE01,18,23907.336615454555,342567.0
2017-10-12,ZONE01,19,28906.79550272726,358785.0
2017-10-12,ZONE01,20,34132.86578181819,394944.0
2017-10-12,ZONE01,21,38821.14132999996,382245.0
2017-10-12,ZONE01,22,35707.42313181821,359040.0
2017-10-12,ZONE01,23,23508.547903636365,269484.0
2017-10-13,ZONE01,0,12004.428254545459,195432.0
2017-10-13,ZONE01,1,6323.500115454548,156570.0
2017-10-13,ZONE01,2,3133.787243636364,142443.0
2017-10-13,ZONE01,3,2630.245710000002,140862.0
2017-10-13,ZONE01,4,2674.622422727274,137751.0
2017-10-13,ZONE01,5,4309.990482727272,172482.0
2017-10-13,ZONE01,6,9283.469878181815,256836.0
2017-10-13,ZONE01,7,13106.568719999997,310743.0
2017-10-13,ZONE01,8,12279.609169090916,270453.0
